section,title
033010,Miscellaneous Cast-in Place Concrete
034843,Precast Concrete Building
061053 & 061600,Miscellaneous Rough Carpentry & Sheating
061753,Shop-Fabricated Wood Trusses
062013,Exterior Finish Carpentry
066400,Plastic Paneling
072100,Thermal Insulation
072600,Vapor Retarders
072726,Fluid-Applied Membrane Air Barriers
073113,Asphalt Shingles
074646,Fiber-Cement Siding
081500 & 087100,Fiberglass Reinforced Plastic Doors and Frames & Door Hardware
089119,Fixed Louvers
099100,Painting
220529,Hangers and Supports for Pluming Piping and Equipment
233423,HVAC Power Ventilators
238126,Split-System Air-Conditioners
238239.16,Propeller Unit Heaters
260000,Electrical
253213.16 & 263600,Gaseous Emergency Engine Generators & Transfer Switches
265119 & 265619,LED Interior Lighting & LED Exterior Lighting
271573,Communications Copper Horizontal Cabling
310000,Earthwork
333256,Submersible Pump Station
462433,Open-Channel Grinders
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,